#########################
Begin Lexical Analysis...
#########################
############
Lexer Output
############
CP = 0   Type = id	Data = begin	Pos = (0, 0)
SS = 7	CP = 57	        Predict Failed in CONDITION
SS = 7	CP = 57	        Predict Failed in CONDITION
SS = 9	CP = 57	        Deduce simple_part
SS = 9	CP = 57	          Predict Failed in CONDITION
SS = 11	CP = 57	          Deduce terminal_symbol
SS = 12	CP = 57	            Match  slit
SS = 12	CP = 57	            Accept slit
SS = 11	CP = 58	          Accept terminal_symbol
SS = 9	CP = 58	        Accept simple_part
SS = 7	CP = 58	      Accept part
SS = 7	CP = 58	      Match  ,
SS = 7	CP = 58	      Reject ,
SS = 6	CP = 58	      Predict Failed: part
SS = 5	CP = 58	    Accept term
SS = 5	CP = 58	    Match  |
SS = 5	CP = 58	    Reject |
SS = 4	CP = 58	  Accept declaration
SS = 4	CP = 58	  Deduce end_op
SS = 5	CP = 58	    Match  ;
SS = 5	CP = 58	    Accept ;
SS = 4	CP = 59	  Accept end_op
SS = 3	CP = 59	Accept statement
SS = 3	CP = 59	Deduce statement
SS = 4	CP = 59	  Deduce non_terminal_symbol
SS = 4	CP = 59	    Match  id
SS = 4	CP = 59	    Accept id
SS = 4	CP = 60	  Accept non_terminal_symbol
SS = 4	CP = 60	  Deduce assign_op
SS = 5	CP = 60	    Match  ::=
SS = 5	CP = 60	    Accept ::=
SS = 4	CP = 61	  Accept assign_op
SS = 4	CP = 61	  Deduce declaration
SS = 5	CP = 61	    Deduce term
SS = 6	CP = 61	      Deduce part
SS = 6	CP = 61	        Predict Failed in CONDITION
SS = 6	CP = 61	        Predict Failed in CONDITION
SS = 6	CP = 61	        Predict Failed in CONDITION
SS = 8	CP = 61	        Deduce simple_part
SS = 8	CP = 61	          Predict Failed in CONDITION
SS = 10	CP = 61	          Deduce terminal_symbol
SS = 11	CP = 61	            Match  slit
SS = 11	CP = 61	            Accept slit
SS = 10	CP = 62	          Accept terminal_symbol
SS = 8	CP = 62	        Accept simple_part
SS = 6	CP = 62	      Accept part
SS = 7	CP = 62	      Match  ,
SS = 7	CP = 62	      Reject ,
SS = 7	CP = 62	      Deduce part
SS = 7	CP = 62	        Predict Failed in CONDITION
SS = 7	CP = 62	        Predict Failed in CONDITION
SS = 7	CP = 62	        Predict Failed in CONDITION
SS = 9	CP = 62	        Deduce simple_part
SS = 11	CP = 62	          Deduce non_terminal_symbol
SS = 11	CP = 62	            Match  id
SS = 11	CP = 62	            Accept id
SS = 11	CP = 63	          Accept non_terminal_symbol
SS = 9	CP = 63	        Accept simple_part
SS = 7	CP = 63	      Accept part
SS = 7	CP = 63	      Match  ,
SS = 7	CP = 63	      Reject ,
SS = 7	CP = 63	      Deduce part
SS = 7	CP = 63	        Predict Failed in CONDITION
SS = 7	CP = 63	        Predict Failed in CONDITION
SS = 7	CP = 63	        Predict Failed in CONDITION
SS = 9	CP = 63	        Deduce simple_part
SS = 9	CP = 63	          Predict Failed in CONDITION
SS = 11	CP = 63	          Deduce terminal_symbol
SS = 12	CP = 63	            Match  slit
SS = 12	CP = 63	            Accept slit
SS = 11	CP = 64	          Accept terminal_symbol
SS = 9	CP = 64	        Accept simple_part
SS = 7	CP = 64	      Accept part
SS = 7	CP = 64	      Match  ,
SS = 7	CP = 64	      Reject ,
SS = 6	CP = 64	      Predict Failed: part
SS = 5	CP = 64	    Accept term
SS = 5	CP = 64	    Match  |
SS = 5	CP = 64	    Reject |
SS = 4	CP = 64	  Accept declaration
SS = 4	CP = 64	  Deduce end_op
SS = 5	CP = 64	    Match  ;
SS = 5	CP = 64	    Accept ;
SS = 4	CP = 65	  Accept end_op
SS = 3	CP = 65	Accept statement
SS = 3	CP = 65	Deduce statement
SS = 4	CP = 65	  Deduce non_terminal_symbol
SS = 4	CP = 65	    Match  id
SS = 4	CP = 65	    Accept id
SS = 4	CP = 66	  Accept non_terminal_symbol
SS = 4	CP = 66	  Deduce assign_op
SS = 5	CP = 66	    Match  ::=
SS = 5	CP = 66	    Accept ::=
SS = 4	CP = 67	  Accept assign_op
SS = 4	CP = 67	  Deduce declaration
SS = 5	CP = 67	    Deduce term
SS = 6	CP = 67	      Deduce part
SS = 6	CP = 67	        Predict Failed in CONDITION
SS = 6	CP = 67	        Predict Failed in CONDITION
SS = 6	CP = 67	        Predict Failed in CONDITION
SS = 8	CP = 67	        Deduce simple_part
SS = 8	CP = 67	          Predict Failed in CONDITION
SS = 10	CP = 67	          Deduce terminal_symbol
SS = 11	CP = 67	            Match  slit
SS = 11	CP = 67	            Accept slit
SS = 10	CP = 68	          Accept terminal_symbol
SS = 8	CP = 68	        Accept simple_part
SS = 6	CP = 68	      Accept part
SS = 7	CP = 68	      Match  ,
SS = 7	CP = 68	      Reject ,
SS = 7	CP = 68	      Deduce part
SS = 7	CP = 68	        Predict Failed in CONDITION
SS = 7	CP = 68	        Predict Failed in CONDITION
SS = 7	CP = 68	        Predict Failed in CONDITION
SS = 9	CP = 68	        Deduce simple_part
SS = 11	CP = 68	          Deduce non_terminal_symbol
SS = 11	CP = 68	            Match  id
SS = 11	CP = 68	            Accept id
SS = 11	CP = 69	          Accept non_terminal_symbol
SS = 9	CP = 69	        Accept simple_part
SS = 7	CP = 69	      Accept part
SS = 7	CP = 69	      Match  ,
SS = 7	CP = 69	      Reject ,
SS = 7	CP = 69	      Deduce part
SS = 7	CP = 69	        Predict Failed in CONDITION
SS = 7	CP = 69	        Predict Failed in CONDITION
SS = 7	CP = 69	        Predict Failed in CONDITION
SS = 9	CP = 69	        Deduce simple_part
SS = 9	CP = 69	          Predict Failed in CONDITION
SS = 11	CP = 69	          Deduce terminal_symbol
SS = 12	CP = 69	            Match  slit
SS = 12	CP = 69	            Accept slit
SS = 11	CP = 70	          Accept terminal_symbol
SS = 9	CP = 70	        Accept simple_part
SS = 7	CP = 70	      Accept part
SS = 7	CP = 70	      Match  ,
SS = 7	CP = 70	      Reject ,
SS = 6	CP = 70	      Predict Failed: part
SS = 5	CP = 70	    Accept term
SS = 5	CP = 70	    Match  |
SS = 5	CP = 70	    Reject |
SS = 4	CP = 70	  Accept declaration
SS = 4	CP = 70	  Deduce end_op
SS = 5	CP = 70	    Match  ;
SS = 5	CP = 70	    Accept ;
SS = 4	CP = 71	  Accept end_op
SS = 3	CP = 71	Accept statement
SS = 3	CP = 71	Deduce statement
SS = 4	CP = 71	  Deduce non_terminal_symbol
SS = 4	CP = 71	    Match  id
SS = 4	CP = 71	    Accept id
SS = 4	CP = 72	  Accept non_terminal_symbol
SS = 4	CP = 72	  Deduce assign_op
SS = 5	CP = 72	    Match  ::=
SS = 5	CP = 72	    Accept ::=
SS = 4	CP = 73	  Accept assign_op
SS = 4	CP = 73	  Deduce declaration
SS = 5	CP = 73	    Deduce term
SS = 6	CP = 73	      Deduce part
SS = 6	CP = 73	        Predict Failed in CONDITION
SS = 6	CP = 73	        Predict Failed in CONDITION
SS = 6	CP = 73	        Predict Failed in CONDITION
SS = 8	CP = 73	        Deduce simple_part
SS = 10	CP = 73	          Deduce non_terminal_symbol
SS = 10	CP = 73	            Match  id
SS = 10	CP = 73	            Accept id
SS = 10	CP = 74	          Accept non_terminal_symbol
SS = 8	CP = 74	        Accept simple_part
SS = 6	CP = 74	      Accept part
SS = 7	CP = 74	      Match  ,
SS = 7	CP = 74	      Reject ,
SS = 6	CP = 74	      Predict Failed: part
SS = 5	CP = 74	    Accept term
SS = 5	CP = 74	    Match  |
SS = 5	CP = 74	    Accept |
SS = 6	CP = 75	    Deduce term
SS = 7	CP = 75	      Deduce part
SS = 7	CP = 75	        Predict Failed in CONDITION
SS = 7	CP = 75	        Predict Failed in CONDITION
SS = 7	CP = 75	        Predict Failed in CONDITION
SS = 9	CP = 75	        Deduce simple_part
SS = 11	CP = 75	          Deduce non_terminal_symbol
SS = 11	CP = 75	            Match  id
SS = 11	CP = 75	            Accept id
SS = 11	CP = 76	          Accept non_terminal_symbol
SS = 9	CP = 76	        Accept simple_part
SS = 7	CP = 76	      Accept part
SS = 8	CP = 76	      Match  ,
SS = 8	CP = 76	      Reject ,
SS = 7	CP = 76	      Predict Failed: part
SS = 6	CP = 76	    Accept term
SS = 5	CP = 76	    Match  |
SS = 5	CP = 76	    Reject |
SS = 4	CP = 76	  Accept declaration
SS = 4	CP = 76	  Deduce end_op
SS = 5	CP = 76	    Match  ;
SS = 5	CP = 76	    Accept ;
SS = 4	CP = 77	  Accept end_op
SS = 3	CP = 77	Accept statement
SS = 3	CP = 77	Deduce statement
SS = 4	CP = 77	  Deduce non_terminal_symbol
SS = 4	CP = 77	    Match  id
SS = 4	CP = 77	    Accept id
SS = 4	CP = 78	  Accept non_terminal_symbol
SS = 4	CP = 78	  Deduce assign_op
SS = 5	CP = 78	    Match  ::=
SS = 5	CP = 78	    Accept ::=
SS = 4	CP = 79	  Accept assign_op
SS = 4	CP = 79	  Deduce declaration
SS = 5	CP = 79	    Deduce term
SS = 6	CP = 79	      Deduce part
SS = 6	CP = 79	        Predict Failed in CONDITION
SS = 6	CP = 79	        Predict Failed in CONDITION
SS = 6	CP = 79	        Predict Failed in CONDITION
SS = 8	CP = 79	        Deduce simple_part
SS = 8	CP = 79	          Predict Failed in CONDITION
SS = 10	CP = 79	          Deduce terminal_symbol
SS = 10	CP = 79	            Predict Failed in CONDITION
SS = 10	CP = 79	            Predict Failed in CONDITION
SS = 11	CP = 79	            Match  token
SS = 11	CP = 79	            Accept token
SS = 10	CP = 80	          Accept terminal_symbol
SS = 8	CP = 80	        Accept simple_part
SS = 6	CP = 80	      Accept part
SS = 7	CP = 80	      Match  ,
SS = 7	CP = 80	      Reject ,
SS = 6	CP = 80	      Predict Failed: part
SS = 5	CP = 80	    Accept term
SS = 5	CP = 80	    Match  |
SS = 5	CP = 80	    Accept |
SS = 6	CP = 81	    Deduce term
SS = 7	CP = 81	      Deduce part
SS = 7	CP = 81	        Predict Failed in CONDITION
SS = 7	CP = 81	        Predict Failed in CONDITION
SS = 7	CP = 81	        Predict Failed in CONDITION
SS = 9	CP = 81	        Deduce simple_part
SS = 9	CP = 81	          Predict Failed in CONDITION
SS = 11	CP = 81	          Deduce terminal_symbol
SS = 11	CP = 81	            Predict Failed in CONDITION
SS = 11	CP = 81	            Predict Failed in CONDITION
SS = 12	CP = 81	            Match  token
SS = 12	CP = 81	            Accept token
SS = 11	CP = 82	          Accept terminal_symbol
SS = 9	CP = 82	        Accept simple_part
SS = 7	CP = 82	      Accept part
SS = 8	CP = 82	      Match  ,
SS = 8	CP = 82	      Reject ,
SS = 7	CP = 82	      Predict Failed: part
SS = 6	CP = 82	    Accept term
SS = 5	CP = 82	    Match  |
SS = 5	CP = 82	    Reject |
SS = 4	CP = 82	  Accept declaration
SS = 4	CP = 82	  Deduce end_op
SS = 5	CP = 82	    Match  ;
SS = 5	CP = 82	    Accept ;
SS = 4	CP = 83	  Accept end_op
SS = 3	CP = 83	Accept statement
SS = 3	CP = 83	Deduce statement
SS = 4	CP = 83	  Deduce non_terminal_symbol
SS = 4	CP = 83	    Match  id
SS = 4	CP = 83	    Accept id
SS = 4	CP = 84	  Accept non_terminal_symbol
SS = 4	CP = 84	  Deduce assign_op
SS = 5	CP = 84	    Match  ::=
SS = 5	CP = 84	    Accept ::=
SS = 4	CP = 85	  Accept assign_op
SS = 4	CP = 85	  Deduce declaration
SS = 5	CP = 85	    Deduce term
SS = 6	CP = 85	      Deduce part
SS = 6	CP = 85	        Predict Failed in CONDITION
SS = 6	CP = 85	        Predict Failed in CONDITION
SS = 6	CP = 85	        Predict Failed in CONDITION
SS = 8	CP = 85	        Deduce simple_part
SS = 8	CP = 85	          Predict Failed in CONDITION
SS = 10	CP = 85	          Deduce terminal_symbol
SS = 10	CP = 85	            Predict Failed in CONDITION
SS = 10	CP = 85	            Predict Failed in CONDITION
SS = 11	CP = 85	            Match  token
SS = 11	CP = 85	            Accept token
SS = 10	CP = 86	          Accept terminal_symbol
SS = 8	CP = 86	        Accept simple_part
SS = 6	CP = 86	      Accept part
SS = 7	CP = 86	      Match  ,
SS = 7	CP = 86	      Reject ,
SS = 6	CP = 86	      Predict Failed: part
SS = 5	CP = 86	    Accept term
SS = 5	CP = 86	    Match  |
SS = 5	CP = 86	    Reject |
SS = 4	CP = 86	  Accept declaration
SS = 4	CP = 86	  Deduce end_op
SS = 5	CP = 86	    Match  ;
SS = 5	CP = 86	    Accept ;
SS = 4	CP = 87	  Accept end_op
SS = 3	CP = 87	Accept statement
SS = 3	CP = 87	Deduce statement
SS = 4	CP = 87	  Deduce non_terminal_symbol
SS = 4	CP = 87	    Match  id
SS = 4	CP = 87	    End Of File
SS = 4	CP = 87	  Accept non_terminal_symbol
SS = 3	CP = 87	Accept statement
Compile Time: 0.154s
begin
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "begin"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> repeat_part
            repeat_part -> "{"
            repeat_part -> declaration
              declaration -> term
                term -> part
                  part -> simple_part
                    simple_part -> non_terminal_symbol
                      non_terminal_symbol -> "statement"
            repeat_part -> "}"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "statement"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "non_terminal_symbol"
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "assign_op"
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "declaration"
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "end_op"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "assign_op"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "'='"
      declaration -> "|"
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "'::='"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "end_op"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "';'"
      declaration -> "|"
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "".""
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "declaration"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "term"
        term -> part
          part -> repeat_part
            repeat_part -> "{"
            repeat_part -> declaration
              declaration -> term
                term -> part
                  part -> simple_part
                    simple_part -> terminal_symbol
                      terminal_symbol -> "'|'"
                term -> part
                  part -> simple_part
                    simple_part -> non_terminal_symbol
                      non_terminal_symbol -> "term"
            repeat_part -> "}"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "term"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "part"
        term -> part
          part -> repeat_part
            repeat_part -> "{"
            repeat_part -> declaration
              declaration -> term
                term -> part
                  part -> alternative_part
                    alternative_part -> "["
                    alternative_part -> declaration
                      declaration -> term
                        term -> part
                          part -> simple_part
                            simple_part -> terminal_symbol
                              terminal_symbol -> "','"
                    alternative_part -> "]"
                term -> part
                  part -> simple_part
                    simple_part -> non_terminal_symbol
                      non_terminal_symbol -> "part"
            repeat_part -> "}"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "part"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "repeat_part"
      declaration -> "|"
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "declaration_part"
      declaration -> "|"
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "alternative_part"
      declaration -> "|"
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "simple_part"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "repeat_part"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "'{'"
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "declaration"
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "'}'"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "declaration_part"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "'('"
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "declaration"
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "')'"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "alternative_part"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "'['"
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "declaration"
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "']'"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "simple_part"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "non_terminal_symbol"
      declaration -> "|"
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> non_terminal_symbol
              non_terminal_symbol -> "terminal_symbol"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "terminal_symlol"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "LIT"
      declaration -> "|"
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "TOKEN"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
      non_terminal_symbol -> "non_terminal_symbol"
    statement -> assign_op
      assign_op -> "::="
    statement -> declaration
      declaration -> term
        term -> part
          part -> simple_part
            simple_part -> terminal_symbol
              terminal_symbol -> "ID"
    statement -> end_op
      end_op -> ";"
  begin -> statement
    statement -> non_terminal_symbol
